MUNICIPIO, QTD;
RONDONÓPOLIS,8;
CAMPO NOVO DO PARECIS,2;
VÁRZEA GRANDE,7;
SÃO FÉLIX DO ARAGUAIA,1;
VERA,1;
FELIZ NATAL,2;
PORTO ESTRELA,2;
NOVA MARILÂNDIA,4;
PORTO ALEGRE DO NORTE,4;
CONFRESA,1;
SÃO PEDRO DA CIPA,7;
IPIRANGA DO NORTE,3;
ALTA FLORESTA,1;
NOVO SÃO JOAQUIM,1;
SORRISO,2;
JAURU,6;
CANARANA,7;
NOVA GUARITA,3;
SANTA CRUZ DO XINGU,1;
NOVA MUTUM,1;
CÁCERES,1;
FIGUEIRÓPOLIS DOESTE,1;
NOVA OLÍMPIA,5;
BARRA DO BUGRES,5;
PORTO ESPERIDIÃO,1;
CLÁUDIA,4;
PONTES E LACERDA,6;
TORIXORÉU,2;
TABAPORÃ,9;
NOVA CANAÃ DO NORTE,2;
JURUENA,1;
CURVELÂNDIA,1;
COTRIGUAÇU,5;
GUIRATINGA,3;
UNIÃO DO SUL,5;
CAMPINÁPOLIS,2;
SÃO JOSÉ DO RIO CLARO,7;
MIRASSOL D`OESTE,4;
GLÓRIA D OESTE,1;
NOVO SANTO ANTONIO,1;
JUSCIMEIRA,2;
APIACÁS,1;
ÁGUA BOA,1;
PLANALTO DA SERRA,5;
CAMPO VERDE,5;
JUARA,11;
SAPEZAL,3;
ALTO PARAGUAI,6;
NOVO HORIZONTE DO NORTE,4;
BRASNORTE,6;
SÃO JOSÉ DO POVO,2;
DOM AQUINO,3;
NOVA XAVANTINA,1;
GUARANTÃ DO NORTE,9;
ARAPUTANGA,3;
CONQUISTA D´OESTE,2;
COMODORO,2;
CARLINDA,1;
RIBEIRÃOZINHO,2;
ARIPUANÃ,3;
SERRA NOVA DOURADA,3;
INDIAVAÍ,2;
CUIABA,1;
SANTO ANTÔNIO DO LESTE,4;
SÃO JOSÉ DOS QUATRO MARCOS,3;
SANTA CARMEM,3;
ITANHANGÁ,1;
NOVO MUNDO,3;
SINOP,6;
ITAÚBA,3;
PORTO DOS GAÚCHOS,1;
JACIARA,4;
COLIDER,5;
NOVA UBIRATÃ,2;
GENERAL CARNEIRO,4;
NORTELÂNDIA,5;
PONTE BRANCA,2;
NOSSA SENHORA DO LIVRAMENTO,6;
ALTO BOA VISTA,1;
NOBRES,3;
TERRA NOVA DO NORTE,3;
VILA RICA,1;
NOVA BANDEIRANTES,1;
LAMBARI DOESTE,1;
POCONÉ,1;
RONDOLÂNDIA,1;
PEIXOTO DE AZEVEDO,3;
VILA BELA DA SANTÍSSIMA TRINDADE,2;
ALTO ARAGUAIA,7;
MARCELÂNDIA,3;
DIAMANTINO,2;
COCALINHO,1;
ARAGUAINHA,2;
CUIABÁ,7;
MATUPÁ,1;
TANGARÁ DA SERRA,4;
DENISE,3;
PONTAL DO ARAGUAIA,2;
SÃO JOSÉ DO XINGU,1;
SANTA RITA DO TRIVELATO,5;
PEDRA PRETA,2;
POXORÉU,3;
BOM JESUS DO ARAGUAIA,2;
RIO BRANCO,1;
ARENÁPOLIS,5;
PROGRAMA, AÇÃO, QTD;
72,1819,2;
72,3162,1;
72,5158,2;
36,2005,1;
390,3109,1;
390,1820,2;
72,1821,1;
72,1820,19;
390,3117,78;
72,5168,182;
390,5168,30;
391,1317,2;
391,5158,6;
391,1828,1;
