MUNICIPIO, QTD;
RONDONÓPOLIS,2;
CAMPO NOVO DO PARECIS,2;
FELIZ NATAL,2;
NOVA MARILÂNDIA,1;
SÃO PEDRO DA CIPA,2;
SORRISO,1;
ARAGUAIANA,1;
SANTA CRUZ DO XINGU,1;
NOVA GUARITA,1;
SALTO DO CÉU,1;
TAPURAH,1;
NOVA OLÍMPIA,2;
RESERVA DO CABAÇAL,2;
SÃO JOSÉ DO RIO CLARO,1;
CAMPINÁPOLIS,1;
APIACÁS,1;
ÁGUA BOA,1;
PLANALTO DA SERRA,1;
JUARA,1;
COLNIZA,1;
SANTO AFONSO,2;
NOVA XAVANTINA,4;
RIBEIRÃOZINHO,1;
QUERÊNCIA,4;
SÃO JOSÉ DOS QUATRO MARCOS,1;
SANTO ANTÔNIO DO LESTE,1;
SANTA CARMEM,3;
ITANHANGÁ,1;
PORTO DOS GAÚCHOS,1;
JANGADA,1;
GENERAL CARNEIRO,1;
PONTE BRANCA,1;
NORTELÂNDIA,2;
NOBRES,1;
VILA BELA DA SANTÍSSIMA TRINDADE,1;
MARCELÂNDIA,2;
RONDONOPOLIS,1;
PARANATINGA,1;
TANGARÁ DA SERRA,1;
SANTA RITA DO TRIVELATO,2;
ALTO GARÇAS,2;
PEDRA PRETA,2;
PONTAL DO ARAGUAIA,1;
ARENÁPOLIS,2;
PROGRAMA, AÇÃO, QTD;
72,1821,1;
72,1820,4;
390,3117,11;
72,5168,39;
390,5168,9;
391,5158,1;
