ID,UNIDADE,CONVENIADA,MUNICIPIO,PROGRAMA,AÇÃO,OBJETO,NUMERO,INI,FIM,VL.CONVENIO,VL.CONTRAPARTE;
1,SECRETARIA DE ESTADO DAS CIDADES-SECID,CASA SÃO DOMINGOS SÁVIO,RONDONOPOLIS,Aquisição de materiais de construção,72,1821,084/2015,18/12/2015,18/12/2016,13000,520;
2,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE ÁGUA BOA,ÁGUA BOA,Aquisição de Material Betuminoso (RL1C) para aplicação em ruas e avenidas do município. Emenda Parlamentar nº 98/2016 Nininho.,390,3117,0567-2016,24/06/2016,20/05/2017,103000,8594;
3,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE ALTO GARÇAS,ALTO GARÇAS,Aquisição de produto RL-1C,72,5168,017/2015,01/12/2015,29/09/2017,100000,4000;
4,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE ALTO GARÇAS,ALTO GARÇAS,SINALIZAÇÃO HORIZONTAL E VERTICAL NA AVENIDA VER. BENEDITO F. MOURA NO MUNICÍPIO DE ALTO GARÇAS. Emenda n.º 243/2016 - Emanuel Pinheiro.,390,5168,0370-2016,30/06/2016,30/06/2017,100000,1296;
5,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE APIACÁS,APIACÁS,Aquisição de Material Betuminoso para Execução de Lama Asfáltica nas vias: Av. Angelim Zeni Av. Jonas Pinheiro Av. Gov. Dante Martins de Oliveira Av. Brasil Av. Gov. Jaime Veríssimo Campos Jr. Rua Prefeito Vaner Mech Rua Itaúba Rua do Girassol Rua Lodovico da Riva Rua Naviraí Rua Pérola Rua Bahia Rua Mirassol Rua Bandeirantes Rua Rio Grande Rua Curitiba Rua São Jorge e contornos no município de Apiacás-MT totalizando 58.92300m2.,390,3117,0827-2016,24/06/2016,24/06/2017,256205,10675;
6,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE ARAGUAIANA,ARAGUAIANA,Aquisição de cimento para calçamento de ruas e avenidas,72,5168,014/2015,25/11/2015,31/12/2016,50000,3000;
7,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE ARENÁPOLIS,ARENÁPOLIS,Aquisição de Lama Asfaltica para Recapeamento e Conservação da Avenida Presidente Vargas no municipio de Arenapolis-MT.,72,5168,037/2015,10/12/2015,05/06/2017,100000,4167;
8,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE ARENÁPOLIS,ARENÁPOLIS,Conservação de Pavimento-Lama Asfáltica nas Ruas Rotatória Praça da Bíblia Praça da Independência Avenida Papa Paulo IV - LD Papa Paulo IV - LEAvenida Prefeito Caio - LD Avenida Prefeito Caio - LE no município e Arenápolis-MT. EMENDA PARLAMENTAR Nº 136/2016 - WAGNER RAMOS.,390,3117,0741-2016,07/06/2016,03/07/2017,123990,5843;
9,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE CAMPINÁPOLIS,CAMPINÁPOLIS,Aquisição de material betuminoso (RL1C) para recuperação de pavimentação asfáltica em ruas e avenidas do perímetro urbano do município de Campinápolis-MT.,72,5168,022/2015,04/12/2015,22/08/2017,100000,3926;
10,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE CAMPO NOVO DO PARECIS,CAMPO NOVO DO PARECIS,AQUISIÇÃO DE MATERIAIS PARA PAVIMENTAÇÃO ASFÁLTICA NAS RUAS TUIUIÚ ANDORINHA E TRAVESSA A. Emenda Parlamentar n.º 347/2016 - Wagner Ramos.,390,3117,0817-2016,14/06/2016,01/06/2017,150000,10528;
11,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE CAMPO NOVO DO PARECIS,CAMPO NOVO DO PARECIS,AQUISIÇÃO DE MATERIAL PARA PAVIMENTAÇÃO ASFÁLTICA AV. MINAS GERAIS NO MUNICÍPIO DE CAMPO NOVO DO PARECIS - MT.,72,5168,082/2015,18/12/2015,21/12/2016,250000,50214;
12,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE COLNIZA,COLNIZA,AQUISIÇÃO DE MATERIAL BETUMINOSO E AGREGADOS PARA PRODUÇÃO DE LAMA ASFÁLTICA PARA REJUVENESCIMENTO DA PAVIMENTAÇÃO DE RUAS E AVENIDAS DO MUNICÍPIO DE COLNIZA/MT. Emenda n.º 281/2016 - Oscar Bezerra,390,3117,0628-2016,01/07/2016,01/06/2017,115000,76841;
13,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE FELIZ NATAL,FELIZ NATAL,CONTRUÇÃO DE PISTA DE CAMINHADA,72,1820,018/2014,02/07/2014,12/05/2016,225000,38314;
14,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE FELIZ NATAL,FELIZ NATAL,REFORMA E RESTRUTURAÇÃO DO SALÃO DE EVENTOS TIO TECO,72,1820,020/2014,02/07/2014,19/03/2017,288000,32000;
15,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE GENERAL CARNEIRO,GENERAL CARNEIRO,Construção de Canteiro Central com Pórtico na Entrada do Município de General Carneiro - MT.,72,5168,061/2014,01/07/2014,07/03/2017,355993,39554;
16,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE ITANHANGÁ,ITANHANGÁ,CONSTRUÇÃO DE ALVENARIA DE FECHAMENTO/MURO NAS DEPENDENCIAS DA ASSOCIAÇÃO DA MELHOR IDADE,72,1820,038/2014,03/07/2014,20/03/2017,24072,2674;
17,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE JANGADA,JANGADA,Aquisição de RL1C para execução de serviços de tapa buracos no município de Jangada. Emenda Parlamentar n.º 98 - Deputado Ondanir Bortolini - Nininho,390,3117,0849-2016,08/06/2016,23/05/2017,100000,8004;
18,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE JUARA,JUARA,Aquisição de emulsão asfáltica para recuperação de ruas da Cidade.,72,5168,092/2015,18/12/2015,30/03/2017,50000,2000;
19,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE MARCELÂNDIA,MARCELÂNDIA,Construção de Galpão de Estrutura Mista no Município de Marcelândia - MT.,72,5168,052/2014,03/07/2014,14/03/2016,190798,21199;
