ID,UNIDADE,CONVENIADA,MUNICIPIO,PROGRAMA,AÇÃO,OBJETO,NUMERO,INI,FIM,VL.CONVENIO,VL.CONTRAPARTE
5,SECRETARIA DE ESTADO DAS CIDADES-SECID,CLUBE DE MÃES AMOR E VIDA,IPIRANGA DO NORTE,Troca de Cobertura e Reforma da fachada do Clube de Mães Amor e Vida de Ipiranga do Norte-MT EMENDA PARLAMENTAR Nº 162.,390,5168,0767-2016,29/12/2016,29/12/2018,120000,0
18,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE ALTO ARAGUAIA,ALTO ARAGUAIA,AQUISIÇÃO DE MATERIAL PARA RECUPERAÇÃO DO PAVIMENTO DAS VIAS URBANAS DO MUNICÍPIO DE ALTO ARAGUAIA/MT. Emenda n.º 98/2016 - Nininho.,390,3117,0475-2016,24/06/2016,24/06/2018,200000,4612
25,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE ALTO PARAGUAI,ALTO PARAGUAI,Pavimentação Asfáltica e calçamento na Cohab Brilho do Sol no Município de Alto Paraguai - MT. Emenda n.º 11/2016 - José Domingos (R$ 100.00000),390,3117,0965-2016,22/06/2016,10/05/2018,276055,11502
30,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE ARAPUTANGA,ARAPUTANGA,Aquisição de Material para Recuperação de Pavimentação Asfáltica com Lama Asfáltica. Emenda n.º 4343/2016 - Zé Carlos do Pátio (R$ 100.00000). Emenda n.º 238/2016 - Emanuel Pinheiro (R$ 100.00000). Emenda n.º 272/2016 - Dr. Leonardo (R$ 64.28576).,390,3117,0985-2016,24/06/2016,05/12/2017,447591,13843
34,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE ARENÁPOLIS,ARENÁPOLIS,Conservação de pavimento em Diversas Ruas (RUA GUILHERME GRUNNWALD RUA PEDRO PEDROSSIAN RUA PRES. JOÃO GOULART RUA PRESIDENTE DUTRA RUA PREFEITO CAIO) do Município de Arenápolis-MT - Emenda Dep. José Domingos Fraga.,390,3117,1381-2016,29/12/2016,10/10/2017,100000,4816
35,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE ARENÁPOLIS,ARENÁPOLIS,RECUPERAÇÃO DE PAVIMENTO COM PMF EM DIVERSAS RUAS DO MUNICÍPIO DE ARENÁPOLIS -MT. Emenda Parlamentar nº 136/2016 Dep. Wagner Ramos,390,3117,1408-2016,29/12/2016,29/12/2017,200000,10539
37,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE ARIPUANÃ,ARIPUANÃ,Aquisição de Material para Lama Asfáltica (RL1C). Emenda Parlamentar n.º 281/2016 - Oscar Bezerra.,390,3117,0390-2016,14/06/2016,31/12/2017,90000,3143
38,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE ARIPUANÃ,ARIPUANÃ,Aquisição de Material para Pavimentação (RR2C). Emenda Parlamentar n.º 36/2016 - Silvano Amaral.,390,3117,0391-2016,16/06/2016,31/12/2017,100000,5985
50,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE BRASNORTE,BRASNORTE,Aquisição de Material para Revestimento Asfáltico nas Vias Urbanas do Município de Brasnorte - MT em parte das ruas: Poconé Tangará Pantanal e Sete Quedas. Emenda Parlamentar nº 136/2016,390,3117,0699-2016,15/06/2016,31/12/2017,100000,3492
51,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE BRASNORTE,BRASNORTE,Construção De Arquibancada Em Concreto. Emenda Parlamentar nº 88 Dilmar Dal Bosco.,390,5168,0982-2016,15/06/2016,31/12/2017,100000,8725
