ID,UNIDADE,CONVENIADA,MUNICIPIO,PROGRAMA,AÇÃO,OBJETO,NUMERO,INI,FIM,VL.CONVENIO,VL.CONTRAPARTE;
27,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE ARAGUAINHA,ARAGUAINHA,Perfuração de 01 poço tubular profundo na Agrovila Paraíso municipio de Araguainha-MT.,72,1820,152/2013,20/12/2013,11/12/2017,150650,0;
28,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE ARAGUAINHA,ARAGUAINHA,AQUISIÇÃO DE CIMENTO PARA CALÇAMENTO EM VIAS URBANAS,72,5168,063/2015,18/12/2015,08/04/2018,95000,5000;
183,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE NOVA MARILÂNDIA,NOVA MARILÂNDIA,Perfuração de um Poço Tubular Artesiano de 250 m (Duzentos e Cinquenta Metros) de profundidade e Construção de um Reservatório com Capacidade para 200.000 litros (Duzentos mil litros de Água) no Loteamento Jardim Planalto II no Município de Nova Marilândia - MT,72,3162,182/2010,29/06/2010,12/12/2017,260000,0;
184,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE NOVA MARILÂNDIA,NOVA MARILÂNDIA,Construção Rotatórias e Pórtico de Acesso e Pórtico de Acesso da Cidade de Nova Marilândia - MT.,72,5168,107/2015,23/12/2015,25/04/2018,300000,212935;
185,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE NOVA MARILÂNDIA,NOVA MARILÂNDIA,Construção da Praça da Telemat no Município de Nova Marilândia - MT.,72,5168,109/2015,18/12/2015,16/10/2017,100000,79538;
186,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE NOVA MARILÂNDIA,NOVA MARILÂNDIA,Construção de capela mortuária no município de Nova Marilândia-MT.,390,5168,0449-2016,02/06/2016,15/02/2018,300000,57254;
251,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SANTA RITA DO TRIVELATO,SANTA RITA DO TRIVELATO,Perfuração de Poços Tubular Profundo no municipio de Santa Rita do Trivelato-MT.,72,5168,029/2014,04/04/2014,28/05/2018,86000,8600;
252,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SANTA RITA DO TRIVELATO,SANTA RITA DO TRIVELATO,Construção de Reservatório de Água no município de Santa Rita Trivelato,72,5168,026/2014,03/07/2014,10/10/2017,152603,61747;
253,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SANTA RITA DO TRIVELATO,SANTA RITA DO TRIVELATO,CONSTRUÇÃO DE REDE DE ENERGIA ELÉTRICA PARA O ASSENTAMENTO PONTE DE BARRO LOCALIZADO NO MUNICIPIO DE SANTA RITA DO TRIVELATO - MT,72,5168,101/2015,22/12/2015,07/01/2018,400000,102476;
254,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SANTA RITA DO TRIVELATO,SANTA RITA DO TRIVELATO,OBRA DE DRENAGEM DE ÁGUAS PLUVIAIS LOCALIZADAS EM DIVERSAS RUAS DENTRO DO PERÍMETRO URBANO DO MUNICÍPIO DE SANTA RITA DO TRIVELATO-MT.,391,5158,0470-2016,08/07/2016,07/06/2018,326000,17666;
255,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SANTA RITA DO TRIVELATO,SANTA RITA DO TRIVELATO,EXECUÇÃO DE OBRAS DE PAVIMENTAÇÃO ASFÁLTICA NO MUNICÍPIO DE SANTA RITA. Emenda n.º 378/2016 - RS 75.00000 - Baiano Filho,390,3117,0471-2016,21/06/2016,31/12/2017,712732,562167;
274,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SÃO PEDRO DA CIPA,SÃO PEDRO DA CIPA,Pavimentação Asfáltica da Rua 15 de Novembro no município de São Pedro da Cipa-MT.,72,5168,077/2015,18/12/2015,20/11/2017,100000,31544;
275,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SÃO PEDRO DA CIPA,SÃO PEDRO DA CIPA,Drenagem Profunda nas Ruas Ruia Barbosa e Cassimiro Dias no Jardim Paraiso,72,5168,106/2015,21/12/2015,01/11/2017,180000,30615;
276,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SÃO PEDRO DA CIPA,SÃO PEDRO DA CIPA,Implantação de Rede de Esgoto no Jardim Estrela no Município de São Pedro da Cipa - MT.,72,5168,099/2015,21/12/2015,04/11/2017,150000,35000;
277,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SÃO PEDRO DA CIPA,SÃO PEDRO DA CIPA,Aquisição de bolsa de material de construção - BMC,72,5168,110/2015,23/12/2015,16/10/2017,430000,30000;
278,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SÃO PEDRO DA CIPA,SÃO PEDRO DA CIPA,AMPLIAÇÃO E REFORMA CENTRO MULTIPLO USO. Emenda Parlamentar 110/2016 Dep. Max Russi,390,1820,0465-2016,29/12/2016,30/06/2018,300000,12085;
279,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SÃO PEDRO DA CIPA,SÃO PEDRO DA CIPA,Obras de Recomposição em PMF de vias Urbanas no município de São Pedro da Cipa. Emenda Max Russi.,390,3117,1406-2016,28/12/2016,28/12/2017,100000,11920;
280,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SÃO PEDRO DA CIPA,SÃO PEDRO DA CIPA,Objeto: Obras de construção de passeios públicos .Emenda n162 Mauro Savi,390,3109,1409-2016,29/12/2016,28/12/2017,472000,42326;
