MUNICIPIO, QTD;
RONDONÓPOLIS,7;
CAMPO NOVO DO PARECIS,3;
VÁRZEA GRANDE,8;
SÃO FÉLIX DO ARAGUAIA,2;
BARRA DO GARÇAS,5;
VERA,2;
ALTA FLORESTA,5;
JAURU,2;
SORRISO,6;
CANARANA,2;
NOVA GUARITA,2;
NOVA MUTUM,2;
CÁCERES,4;
TAPURAH,2;
ROSÁRIO OESTE,3;
JUINA,2;
RIBEIRÃO CASCALHEIRA,2;
CLÁUDIA,2;
BARRA DO BUGRES,2;
PONTES E LACERDA,2;
NOVA CANAÃ DO NORTE,2;
JURUENA,1;
COTRIGUAÇU,2;
MIRASSOL D`OESTE,3;
APIACÁS,2;
ÁGUA BOA,5;
JUARA,4;
CAMPO VERDE,5;
SAPEZAL,3;
BRASNORTE,2;
SANTO AFONSO,1;
DOM AQUINO,2;
NOVA XAVANTINA,3;
GUARANTÃ DO NORTE,4;
ARAPUTANGA,4;
COMODORO,3;
QUERÊNCIA,1;
CAMPOS DE JÚLIO,1;
ARIPUANÃ,4;
CUIABA,2;
PRIMAVERA DO LESTE,3;
SINOP,4;
ITAÚBA,2;
JACIARA,3;
COLIDER,5;
NORTELÂNDIA,1;
NOVA LACERDA,2;
NOSSA SENHORA DO LIVRAMENTO,2;
NOBRES,4;
TERRA NOVA DO NORTE,2;
NOVA BANDEIRANTES,2;
POCONÉ,2;
PEIXOTO DE AZEVEDO,2;
MARCELÂNDIA,2;
ALTO ARAGUAIA,3;
NORTELANDIA,2;
LUCAS DO RIO VERDE,2;
DIAMANTINO,3;
CUIABÁ,24;
PARANATINGA,3;
MATUPÁ,2;
TANGARÁ DA SERRA,2;
DENISE,2;
PEDRA PRETA,2;
ARENÁPOLIS,2;
NOVA MONTE VERDE,2;
PROGRAMA, AÇÃO, QTD;
340,4380,76;
268,3593,1;
398,2220,70;
340,3890,1;
340,4445,23;
340,4370,4;
284,3299,2;
340,4381,1;
398,2217,2;
340,3856,1;
340,4443,1;
398,2218,16;
398,2231,1;
340,4371,5;
