ID,UNIDADE,CONVENIADA,MUNICIPIO,PROGRAMA,AÇÃO,OBJETO,NUMERO,INI,FIM,VL.CONVENIO,VL.CONTRAPARTE;
1,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE-ASSOCIAÇAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE NOVA BANDEIRANTES,NOVA BANDEIRANTES,ATENDER 40 (QUARENTA) ALUNOS DA EDUCAÇÃO ESPECIAL BUSCANDO A INCLUSÃO NA SOCIEDADE.,340,4380,050/2015,17/06/2015,31/12/2015,52800,0;
2,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE-ASSOCIAÇAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE NOVA BANDEIRANTES,NOVA BANDEIRANTES,PAGAMENTO DE 02 (DOIS) PROFISSIONAIS QUE ATENDEM 40 (QUARENTA) ALUNOS DA EDUCAÇAO ESPECIAL BUSCANDO A SUA INCLUSÃO NA SOCIEDADE,398,2220,0178-2016,23/05/2016,14/04/2017,60000,0;
3,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,ADEVAS - ASSOCIAÇÃO DOS DEFICIENTES VISUAIS E AMIGOS DE SINOP,SINOP,Garantir o pagamento de 02 (dois) profissionais da Educação Especial da Associação dos Deficientes Visuais e Amigos de Sinop - ADEVAS.,340,4380,064/2015,30/07/2015,31/12/2015,39600,0;
4,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DE BRASNORTE,BRASNORTE,REPASSE DE RECURSOS FINANCEIROS PARA O PAGAMENTO DE PROFISSIONAIS DA EDUCACAO ESPECIAL DA APAE DE BRASNORTE - MT.,340,4380,020/2015,13/05/2015,31/12/2015,39600,0;
5,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DE BRASNORTE,BRASNORTE,Realizar pagamentos mensais para 03 (tres) profissionais da Educação Especial da APAE de Brasnorte no atendimento de crianças excepcionais.,398,2220,0083-2016,23/05/2016,31/12/2016,45000,0;
6,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ALTA FLORESTA,ALTA FLORESTA,PAGAMENTO DE 09 (NOVE) PROFESSIONAIS PARA ATENDER ALUNOS COM NECESSIDADES EDUCACIONAIS ESPECIAIS,398,2220,0010-2016,01/06/2016,31/12/2016,135000,0;
7,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ALTA FLORESTA,ALTA FLORESTA,PAGAMENTO DE 10 (DEZ) PROFISSIONAIS QUE ATENDEM 90 (NOVENTA ) ALUNOS COM NECESSIDADES EDUCACIONAIS ESPECIAIS.,340,4380,034/2015,21/05/2015,31/12/2015,118800,0;
8,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ALTO ARAGUAIA,ALTO ARAGUAIA,Pagamento de 05 (cinco) profissionais da Escola Especial Tempo de Despertar - APAE de Alto Araguaia - MT.,340,4380,012/2015,12/05/2015,31/12/2015,87120,0;
9,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ALTO ARAGUAIA,ALTO ARAGUAIA,Pagamento de 05 (cinco) profissionais para atendimento na Associação de Pais e amigos dos Excepcionais de Alto Araguaia APAE de Alto Araguaia - MT,398,2220,0014-2016,20/05/2016,01/03/2017,99000,0;
10,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ARAPUTANGA,ARAPUTANGA,REPASSE DE RECURSOS FINANCEIROS PARA PAGAMENTO DE 08 (OITO) PROFISSIONAIS DA EDUCAÇÃO ESPECIAL,340,4380,019/2015,13/05/2015,31/12/2015,104280,0;
