MUNICIPIO, QTD;
RONDONÓPOLIS,3;
CAMPO NOVO DO PARECIS,1;
VÁRZEA GRANDE,8;
BARRA DO GARÇAS,2;
VERA,1;
FELIZ NATAL,1;
PORTO ALEGRE DO NORTE,1;
IPIRANGA DO NORTE,1;
ALTA FLORESTA,2;
JAURU,2;
SORRISO,3;
CANARANA,2;
NOVA GUARITA,1;
SANTA CRUZ DO XINGU,1;
NOVA MUTUM,2;
CÁCERES,4;
TAPURAH,3;
ROSÁRIO OESTE,1;
JUINA,1;
NOVA OLÍMPIA,3;
RIBEIRÃO CASCALHEIRA,1;
CLÁUDIA,1;
BARRA DO BUGRES,1;
PONTES E LACERDA,2;
NOVA CANAÃ DO NORTE,1;
COTRIGUAÇU,2;
SÃO JOSÉ DO RIO CLARO,1;
MIRASSOL D`OESTE,1;
APIACÁS,1;
ÁGUA BOA,1;
JUARA,1;
CAMPO VERDE,2;
SAPEZAL,2;
COLNIZA,1;
BRASNORTE,1;
DOM AQUINO,1;
NOVA XAVANTINA,1;
GUARANTÃ DO NORTE,1;
PARANAITA,2;
ARAPUTANGA,2;
CONQUISTA D´OESTE,1;
COMODORO,1;
ARIPUANÃ,2;
CUIABA,2;
PRIMAVERA DO LESTE,2;
SANTA CARMEM,2;
SÃO JOSÉ DOS QUATRO MARCOS,1;
NOVO MUNDO,1;
ITANHANGÁ,1;
NOVA BRASILÂNDIA,1;
SINOP,2;
PORTO DOS GAÚCHOS,1;
ITAÚBA,2;
JACIARA,2;
COLIDER,2;
GENERAL CARNEIRO,1;
ALTO BOA VISTA,1;
NOSSA SENHORA DO LIVRAMENTO,1;
NOBRES,1;
TERRA NOVA DO NORTE,1;
NOVA BANDEIRANTES,1;
POCONÉ,1;
PEIXOTO DE AZEVEDO,1;
VILA BELA DA SANTÍSSIMA TRINDADE,1;
MARCELÂNDIA,1;
ALTO ARAGUAIA,1;
NORTELANDIA,1;
DIAMANTINO,1;
LUCAS DO RIO VERDE,4;
CUIABÁ,7;
PARANATINGA,1;
MATUPÁ,1;
TANGARÁ DA SERRA,2;
DENISE,1;
SANTA RITA DO TRIVELATO,1;
PEDRA PRETA,2;
BOM JESUS DO ARAGUAIA,2;
ARENÁPOLIS,1;
NOVA MONTE VERDE,1;
PROGRAMA, AÇÃO, QTD;
398,2220,72;
398,2228,5;
398,2217,31;
398,2231,5;
398,2218,7;
36,2007,1;
340,4371,7;
