ID,UNIDADE,CONVENIADA,MUNICIPIO,PROGRAMA,AÇÃO,OBJETO,NUMERO,INI,FIM,VL.CONVENIO,VL.CONTRAPARTE;
1,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE-ASSOCIAÇAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE NOVA BANDEIRANTES,NOVA BANDEIRANTES,Repasse de Recursos Financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial,398,2220,0734-2017,14/08/2017,31/12/2018,183000,0;
2,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,ADEVAS - ASSOCIAÇÃO DOS DEFICIENTES VISUAIS E AMIGOS DE SINOP,SINOP,Este plano de ação visa estabelecer um trabalho de inclusão de pessoas cegas ou com baixa visão tendo o atendimento direcionado e adequado.,398,2220,0844-2017,24/08/2017,31/12/2018,111000,0;
3,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DE BRASNORTE,BRASNORTE,Repasse de recursos financeiros para pagamento de despesas com pessoal habilitado a desenvolver programas de Educação Especial.,398,2220,0177-2017,26/06/2017,31/12/2018,135000,0;
4,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ALTA FLORESTA,ALTA FLORESTA,Pagamento de profissionais da Educação Especial.,398,2220,0106-2017,29/05/2017,31/12/2018,276000,0;
5,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ALTO ARAGUAIA,ALTO ARAGUAIA,Repasse de Recursos Financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial,398,2220,0525-2017,28/06/2017,31/12/2018,195000,0;
6,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ARAPUTANGA,ARAPUTANGA,REPASSE DE RECURSOS FINANCEIROS PARA PAGAMENTO DE DESPESAS COM PESSOAL HABILITADO A DESENVOLVER PROGRAMAS DE EDUCAÇÃO ESPECIAL,398,2220,0119-2017,06/06/2017,31/12/2018,243000,0;
7,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ARENÁPOLIS,ARENÁPOLIS,Repasse de Recursos Financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial,398,2220,0241-2017,28/07/2017,31/12/2018,114000,0;
8,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ARIPUANÃ,ARIPUANÃ,Repasse de Recursos Financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial.,398,2220,0347-2017,25/10/2017,31/12/2018,159000,0;
9,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE BARRA DO GARÇAS,BARRA DO GARÇAS,Repasse de Recursos Financeiros para pagamento de despesas com pessoal habilitado a desenvolver programas de Educação Especial.,398,2220,0121-2017,06/06/2017,31/12/2018,207000,0;
10,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE BARRA DOS BUGRES,BARRA DO BUGRES,Repasse de Recurso Financeiro para Pagamento de Despesa com Pessoal Habilitado a Desenvolver Programas de Educação Especial.,398,2220,0232-2017,29/05/2017,31/12/2018,465000,0;
11,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CÁCERES,CÁCERES,REPASSE DE RECURSOS FINANCEIROS PARA PAGAMENTO D DESPESA COM PESSOAL HABILITADO A DESENVOLVER PROGRAMAS DE EDUCAÇÃO ESPECIAL.,398,2220,0451-2017,18/09/2017,31/12/2018,330000,0;
12,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CAMPO NOVO DO PARECIS,CAMPO NOVO DO PARECIS,Repasse de Recursos Financeiros para pagamento de Despesas com Pessoal Habilitado para Desenvolver Programas de Educação Especial.,398,2220,0200-2017,19/06/2017,31/12/2018,258000,0;
13,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CAMPO VERDE,CAMPO VERDE,Repasse de Recurso Financeiro para pagamento de Despesas com Pessoal Habilitado a Desenvolver ´Programas de Educação Especial.,398,2220,0071-2017,19/06/2017,30/12/2018,306000,0;
14,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CANARANA,CANARANA,Repasse de Recursos Financeiro para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial.,398,2220,0706-2017,10/07/2017,31/12/2018,273000,0;
15,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE COLÍDER,COLIDER,Repasse de Recursos Financeiros para Pagamento de despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial.,398,2220,0729-2017,11/08/2017,31/12/2018,183000,0;
16,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE COMODORO,COMODORO,Repasse de recursos financeiros para pagamento de despesas com pessoal habilitado a desenvolver programa de educação especial,398,2220,0228-2017,21/06/2017,31/12/2018,144000,0;
17,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CUIABÁ,CUIABÁ,Repasse de Recursos financeiro para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial.,398,2220,0450-2017,07/06/2017,31/12/2018,360000,0;
18,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE DENISE,DENISE,REPASSE DE RECURSOS FINANCEIROS PARA PAGAMENTO DE DESPESAS COM PESSOAL HABILITADO A DESENVOLVER PROGRAMAS DE EDUCAÇÃO ESPECIAL NA ESCOLA ESPECIAL CASINHA FELIZ APAE DE DENISE-MT,398,2220,0230-2017,29/06/2017,31/12/2018,102000,0;
19,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE GUARANTÃ DO NORTE,GUARANTÃ DO NORTE,Repasse de Recursos Financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial.,398,2220,0127-2017,29/05/2017,31/12/2018,183000,0;
20,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ITAÚBA,ITAÚBA,Repasse de Recursos Financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial.,398,2220,0576-2017,17/07/2017,31/12/2018,174000,0;
21,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE JAURU,JAURU,REPASSE DE RECURSOS FINANCEIROS PARA PAGAMENTO DE DESPESAS DE PESSOAL HABILITADO PARA DESENVOLVER O PROGRAMA DE EDUCAÇÃO ESPECIAL.,398,2220,0759-2017,07/07/2017,31/12/2018,102000,0;
22,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE LUCAS RIO VERDE,LUCAS DO RIO VERDE,Repasse de Recursos financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial.,398,2220,0229-2017,12/06/2017,31/12/2018,501000,0;
23,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE MARCELÂNDIA,MARCELÂNDIA,Repasse de Recursos Financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial.,398,2220,0549-2017,21/08/2017,31/12/2018,138000,0;
24,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE MATUPÁ,MATUPÁ,Repasse de Recurso Financeiros para pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial,398,2220,0209-2017,19/06/2017,31/12/2018,213000,0;
25,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE MIRASSOL D OESTE,MIRASSOL D`OESTE,REPASSE DE RECURSOS FINANCEIROS PARA PAGAMENTO DE DESPESAS COM PESSOAL HABILITADO A DESENVOLVER PROGRAMAS DE EDUCAÇÃO ESPECIAL.,398,2220,0096-2017,29/05/2017,31/12/2018,231000,0;
26,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE NOBRES,NOBRES,Repasse de Recurso Financeiro para Pagamento de Despesa com Pessoal Habilitado a Desenvolver Programas de Educação Especial.,398,2220,0522-2017,08/08/2017,31/12/2018,126000,0;
27,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE NORTELÂNDIA,NORTELANDIA,Repasse de recursos financeiros para pagamento de despesas com pessoal habilitado a desenvolver Programas de Educação especial.,398,2220,0196-2017,06/06/2017,31/12/2018,150000,0;
28,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE NOSSA SENHORA DO LIVRAMENTO,NOSSA SENHORA DO LIVRAMENTO,Repasse de Recursos Financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial.,398,2220,1015-2017,31/10/2017,31/12/2018,165000,0;
29,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE NOVA CANAÃ DO NORTE,NOVA CANAÃ DO NORTE,Repasse de Recursos Financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial.,398,2220,0227-2017,10/07/2017,31/12/2018,129000,0;
