MUNICIPIO, QTD;
RONDONÓPOLIS,1;
VÁRZEA GRANDE,1;
PORTO ALEGRE DO NORTE,2;
FIGUEIROPOLIS D`OESTE,1;
SÃO PEDRO DA CIPA,1;
SORRISO,1;
ALTA FLORESTA,2;
NOVA GUARITA,1;
SALTO DO CÉU,1;
GOIÂNIA,1;
NOVA MUTUM,1;
CÁCERES,1;
TAPURAH,3;
BARÃO DE MELGAÇO,1;
PONTES E LACERDA,2;
COTRIGUAÇU,1;
SÃO JOSÉ DO RIO CLARO,1;
JUSCIMEIRA,1;
ÁGUA BOA,3;
JUARA,1;
QUERÊNCIA,3;
SÃO JOSÉ DOS QUATRO MARCOS,1;
SINOP,1;
NOVO MUNDO,1;
NOVA BRASILÂNDIA,2;
COLIDER,1;
GAÚCHA DO NORTE,1;
RONDOLANDIA,1;
PEIXOTO DE AZEVEDO,1;
POCONÉ,1;
VILA BELA DA SANTÍSSIMA TRINDADE,1;
LUCAS DO RIO VERDE,3;
SANTA RITA DO TRIVELATO,2;
TANGARA DA SERRA,1;
ARENÁPOLIS,1;
NOVA MARINGÁ,1;
PROGRAMA, AÇÃO, QTD;
338,1287,2;
338,1292,1;
388,3053,5;
388,1292,6;
338,2209,8;
338,1289,2;
338,2128,7;
36,2007,1;
338,2151,17;
